userId,campaignId,label,semanticScore,categoryScore,locationScore,urgencyScore,monetary,goods,volunteer
69cbce97f28fd95e5bf52789,69ca358aede0bca4dfb87625,0,0.468249995,1,1,0.005434783,0,1,0
69cbcea0f28fd95e5bf527a7,69ca358aede0bca4dfb87625,0,0.430885255,0,1,0.009615385,0,0,1
69cbcea3f28fd95e5bf527b1,69ca358aede0bca4dfb87625,0,0.373664739,0,0.747515143,0.010869565,0,0,1
69cbcea3f28fd95e5bf527b1,69ca358aede0bca4dfb87625,0,0.411683787,0,0.781064868,0.005025126,0,0,1
69cbcea6f28fd95e5bf527bb,69ca358aede0bca4dfb87625,0,0.352058031,0,0.747515143,0.012987013,1,0,0
69cbce91f28fd95e5bf52775,69ca358dede0bca4dfb8762a,0,0.319114727,0,0.58854075,0.02173913,1,0,0
69cbce91f28fd95e5bf52775,69ca358dede0bca4dfb8762a,0,0.400967661,0,0.018110311,0.008196721,1,0,0
69cbce91f28fd95e5bf52775,69ca358dede0bca4dfb8762a,0,0.325942372,0,0.58854075,0.013888889,0,1,0
69cbce94f28fd95e5bf5277f,69ca358dede0bca4dfb8762a,0,0.364177777,0,0.296316565,0.05,0,0,1
69cbce97f28fd95e5bf52789,69ca358dede0bca4dfb8762a,0,0.345338518,0,0.493259903,0.016393443,0,1,0
69cbce97f28fd95e5bf52789,69ca358dede0bca4dfb8762a,0,0.317613085,0,0.228752898,0.024390244,0,0,1
69cbce9df28fd95e5bf5279c,69ca358dede0bca4dfb8762a,0,0.399873921,0,0.500667914,0.010869565,1,0,0
69cbcea0f28fd95e5bf527a7,69ca358dede0bca4dfb8762a,0,0.33665052,0,0.200203457,0.016393443,1,0,0
69cbcea3f28fd95e5bf527b1,69ca358dede0bca4dfb8762a,0,0.367187087,0,0.200203457,0.024390244,1,0,0
69cbcea3f28fd95e5bf527b1,69ca358dede0bca4dfb8762a,0,0.328414224,0,0.200203457,0.008196721,1,0,0
69cbcea3f28fd95e5bf527b1,69ca358dede0bca4dfb8762a,0,0.32197518,0,0.200203457,0.014925373,0,1,0
69cbcea6f28fd95e5bf527bb,69ca358dede0bca4dfb8762a,0,0.333764251,0,0.835293452,0.032258065,0,1,0
69cbcea9f28fd95e5bf527c4,69ca358dede0bca4dfb8762a,0,0.333766074,0,0.835293452,0.010752688,1,0,0
69cbceacf28fd95e5bf527cf,69ca358dede0bca4dfb8762a,0,0.383116237,0,0.58854075,0.010752688,1,0,0
69cbceaef28fd95e5bf527da,69ca358dede0bca4dfb8762a,0,0.338753612,0,0.500667914,0.017857143,1,0,0
69cbcf03f28fd95e5bf52903,69ca358dede0bca4dfb8762a,2,0.430885255,0,1,0.009615385,0,1,0
69cbce97f28fd95e5bf52789,69ca359bede0bca4dfb87634,0,0.468518015,1,1,0.005434783,0,1,0
69cbcea0f28fd95e5bf527a7,69ca359bede0bca4dfb87634,0,0.400404912,0,0.018110311,0.008196721,1,0,0
69cbcea3f28fd95e5bf527b1,69ca359bede0bca4dfb87634,0,0.430985138,0,1,0.009615385,0,0,1
69cbcea6f28fd95e5bf527bb,69ca359bede0bca4dfb87634,0,0.400510148,0,0.500667914,0.010869565,1,0,0
69cbceacf28fd95e5bf527cf,69ca359bede0bca4dfb87634,0,0.41221351,0,0.781064868,0.005025126,0,0,1
69cbceaef28fd95e5bf527da,69ca359bede0bca4dfb87634,0,0.352620652,0,0.747515143,0.012987013,1,0,0
69cbce91f28fd95e5bf52775,69ca35b2ede0bca4dfb87639,0,0.374212333,0,0.747515143,0.010869565,0,0,1
69cbce91f28fd95e5bf52775,69ca35b2ede0bca4dfb87639,0,0.383293836,0,0.58854075,0.010752688,1,0,0
69cbce91f28fd95e5bf52775,69ca35b2ede0bca4dfb87639,0,0.364210786,0,0.296316565,0.05,0,0,1
69cbce94f28fd95e5bf5277f,69ca35b2ede0bca4dfb87639,0,0.339251326,0,0.500667914,0.017857143,1,0,0
69cbce94f28fd95e5bf5277f,69ca35b2ede0bca4dfb87639,0,0.317777142,0,0.228752898,0.024390244,0,0,1
69cbce97f28fd95e5bf52789,69ca35b2ede0bca4dfb87639,0,0.329023211,0,0.200203457,0.008196721,1,0,0
69cbce97f28fd95e5bf52789,69ca35b2ede0bca4dfb87639,0,0.322529841,0,0.200203457,0.014925373,0,1,0
69cbce9af28fd95e5bf52793,69ca35b2ede0bca4dfb87639,0,0.345591168,0,0.493259903,0.016393443,0,1,0
69cbce9af28fd95e5bf52793,69ca35b2ede0bca4dfb87639,0,0.337491479,0,0.200203457,0.016393443,1,0,0
69cbce9af28fd95e5bf52793,69ca35b2ede0bca4dfb87639,0,0.367652512,0,0.200203457,0.024390244,1,0,0
69cbcea0f28fd95e5bf527a7,69ca35b2ede0bca4dfb87639,0,0.334163013,0,0.835293452,0.010752688,1,0,0
